date,hours worked,tasks
2026-04-21,1.2,"Initial extension scaffold; added zone picker; added thumbnail and viewer UI."
2026-04-22,1.5,"Refined project/item handling; added release publishing workflow; switched to calver; added icons."
2026-04-24,1.2,"Designed and started extraction API; added Go server skeleton; defined extraction types; wired stub backend, extension calls, mock fallback, and provider interface."
2026-04-25,4.1,"Built hosted extraction provider and local/dev deployment assets; documented backend setup; fixed CORS and upstream error handling; added Ollama provider, streaming work, and related Go tests."
2026-04-28,2.1,"Set up dev server deployment under systemd and cloudflared; split homepage deploy workflow; built homepage/assets; codified tunnel routing and health checks."
2026-05-01,0.9,"Updated Grok-related config and hardened tunnel startup checks."
2026-05-02,5.4,"Worked on extension upload/deploy issues; planned Mothership persistence; added Postgres compose, migrations, generated queries, server DB wiring, web CRUD pages, share links, print styles, extension API/client integration, save/open flows, CORS proxying, and zone removal."
2026-05-03,10.3,"Redesigned share-link UX; fixed extension create errors and breadcrumbs; persisted share tokens; added Anthropic provider and OAuth docs; built unified project page, Google OAuth, project cards, schedule suggestions, notes, thumbnails, live reload, item image preservation, zone/sub-group support, updated_at triggers, dynamic schedule columns, and TypeScript data-bag support."
2026-05-04,5.9,"Split web package/template/static files; improved table layout and code column styling; added OAuth guards, sign-out, extension shared-session auth, popup sign-in flow, auth redirects, design tokens, Mothership UI overhaul, and auto-generated item codes."
2026-05-05,3.1,"Added dev VM deployment pipeline and self-hosted runner; fixed provider tests; updated extension/infra/CI config; added fonts/HTMX/tokens; overhauled UI with inline editing, quick-create, schedule redesign, footer, zone fixes, planning docs, and richer LLM project context."
2026-05-06,9.3,"Added always-on share link and copy toast; built note schedules, item reorder, CSV export, actions dropdown, mobile share cards, manual item entry, custom columns modal, custom-column extraction, confirmation panel, admin dashboard, uploads, HTMX item add, telemetry, shared projects, column reorder, provider hardening, extraction detail page, collaborators modal, item detail modal, code sorting, server-side PDF extraction, few-shot calibration, upload persistence, prompt/response logging, JSON colorizing, and schedule-switch code prefix updates."
2026-05-07,0.5,"Added backend switcher in panel header for development."
2026-05-08,1.7,"Improved auto-triggered new-schedule modal copy; fixed cancel behavior and host permissions for preset backends."
2026-05-09,0.5,"Fixed modal schedule creation so it no longer triggers cancel-auto-schedule behavior."
2026-05-10,2.9,"Added shared-project owner names, admin user management, magic-link auth, schedule reorder, item detail modal scrolling, image picker, API tokens, schedule-name deduping, Edit Columns modal, tests, and extension version bump."
2026-05-11,1.8,"Included shared projects in API project list; fixed Ollama config; added v0.2.1 zip script; improved About copy; homepage before/after animation; updated scaling cost report with real model names, cloud comparison, and founder compensation section."
2026-05-12,0.5,"New files from Fly.io Launch."
2026-05-15,0.5,"Fixed idempotency bugs in deploy-cloudflared.sh."
2026-05-17,3.4,"Renamed zone to room across DB/Go/templates; regenerated sqlc; stopped LLM bias toward current schedule; added paint-specific finish/color extraction; nav refactor and local-time formatting."
2026-05-18,0.5,"Panel: finish combobox swaps model SKU on variant pick."
2026-05-19,5.9,"Finish field as select combobox; canonical preset keys; mapping round-trip; Lightology swatch scrape; Ferguson Apollo state parsing; Anthropic prompt caching; contractor view with price/lead/stock columns; three-word human-friendly share link slugs; duplicate-item warning in review panel."
2026-05-20,0.5,"Duplicate-item warning: inline banner in review panel with server-side 409 check."
2026-05-22,0.8,"Notes column as textarea; site-wide UX pass with friendlier copy, DRY project header, About carousel; notes column wider with no line-clamp truncation."
2026-05-23,5.8,"Split page.html into per-page partials; fixed cell editing layout shift and room select width; contractor view read-only badge, schedule hover hints, preview thumbnails, grand total, thumbnail lightbox; 404 for forbidden routes; item detail shows all fields with floated image; user avatar menu replaces Sign-out button; skeleton loading screen in panel; bumped to v0.3.0; added versioned Store release CI workflow."
2026-05-24,0.9,"DXF export: project-level AutoCAD AC1015 download with MTEXT, all schedules stacked, and variable row heights."
